t,theta_rad,omega_sc,omega_rw,T_dist,T_applied,T_des,yaw_err_deg
52.620000000000005,0.6426176420740948,-0.03892778352834999,7.785549644186945,2.8732787683464373e-09,-5e-05,-5e-05,-6.81927873149419
52.64,0.6418380864393933,-0.03897778173507327,7.795549644186945,1.7932767228563325e-09,-5e-05,-5e-05,-6.774613483730156
52.660000000000004,0.6410575307926533,-0.039027782337003526,7.805549644186945,-6.01930257698064e-10,-5e-05,-5e-05,-6.729890939496846
52.68,0.6402759752369006,-0.039077777787633855,7.8155496441869445,4.5493696697862614e-09,-5e-05,-5e-05,-6.685111104697217
52.7,0.6394934196977475,-0.039127776957651954,7.825549644186944,8.299818992716297e-10,-5e-05,-5e-05,-6.640273975069161
52.72,0.6387098641563693,-0.039177777068910756,7.835549644186944,-1.1125879951862226e-10,-5e-05,-5e-05,-6.595379549534101
52.74,0.6379253085825428,-0.03922777869132507,7.845549644186944,-1.6224143186567189e-09,-5e-05,-5e-05,-6.5504278263603775
52.76,0.6371397529951388,-0.039277779370201556,7.855549644186944,-6.788764821614561e-10,-5e-05,-5e-05,-6.505418806629208
52.78,0.6363531974062969,-0.039327779442096714,7.8655496441869435,-7.18951550637492e-11,-5e-05,-5e-05,-6.460352491036141
52.800000000000004,0.6355656418852764,-0.03937777605102693,7.875549644186943,3.3910697827507765e-09,-5e-05,-5e-05,-6.41522888354944
52.82,0.6347770863096738,-0.03942777878013385,7.885549644186943,-2.7291069198145956e-09,-5e-05,-5e-05,-6.370047977155899
52.84,0.6339875306940532,-0.03947778078103033,7.895549644186943,-2.0008964754663228e-09,-5e-05,-5e-05,-6.324809772689988
52.86,0.6331969751021538,-0.03952777959497361,7.905549644186943,1.1860567160931126e-09,-5e-05,-5e-05,-6.279514273803683
52.88,0.632405419449817,-0.03957778261684114,7.915549644186942,-3.02186752648877e-09,-5e-05,-5e-05,-6.23416147567506
52.9,0.6316128637673878,-0.03962778412146112,7.925549644186942,-1.5046199788770205e-09,-5e-05,-5e-05,-6.188751380042755
52.92,0.6308193081430998,-0.03967778121439685,7.935549644186942,2.907064268106269e-09,-5e-05,-5e-05,-6.143283991962186
52.94,0.6300247524270871,-0.03972778580063687,7.945549644186942,-4.586240023033942e-09,-5e-05,-5e-05,-6.097759302846662
52.96,0.6292291968023355,-0.03977778123758261,7.9555496441869415,4.563054258851551e-09,-5e-05,-5e-05,-6.0521773231805
52.980000000000004,0.6284326411772407,-0.03982778125473772,7.965549644186941,-1.7155104874223414e-11,-5e-05,-5e-05,-6.006538047715167
